,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
54,2,2024-06-25,16:39:00,17:34:30,1.48,,55,2024-06-25 16:39:00,2024-06-25 17:34:30,3.3203121387283234,0.953720411301546,87.52398265895954,27.010392881482638,0.0750288691152295,0.5247861627183403,15
55,2,2024-06-26,08:55:00,09:43:00,1.62,,56,2024-06-26 08:55:00,2024-06-26 09:43:00,1.0321755725190838,0.4102036545033929,99.37093129770992,39.7125088355233,0.1103125245431202,0.2361689364073937,16
56,2,2024-06-26,10:01:00,10:52:00,1.33,,57,2024-06-26 10:01:00,2024-06-26 10:52:00,1.4074097222222222,0.5319094566884552,146.9405972222222,47.532176558102734,0.1320338237725075,0.3308092019064744,17
57,2,2024-06-26,11:00:00,11:50:00,9.71,,58,2024-06-26 11:00:00,2024-06-26 11:50:00,1.5774335664335664,0.5729161204913692,165.55723076923076,42.56751788900674,0.1182431052472409,0.3863082730359258,18
58,2,2024-06-26,13:03:10,13:51:10,4.83,,59,2024-06-26 13:03:10,2024-06-26 13:51:10,2.086151724137931,0.716621649080625,127.74538620689658,37.5554922684528,0.1043208118568133,0.4792514085177805,19
59,2,2024-06-26,14:00:00,14:52:20,0.01,,60,2024-06-26 14:00:00,2024-06-26 14:52:20,2.207905660377359,0.8614429004818266,102.42933962264152,46.99909066595391,0.1305530296276497,0.5277531042741253,20
60,2,2024-06-26,15:01:20,15:49:30,44.02,,61,2024-06-26 15:01:20,2024-06-26 15:49:30,2.6945533333333334,0.9096962951916748,80.54934,34.86645841976523,0.0968512733882367,0.5380368161011054,21
61,2,2024-06-26,16:03:00,16:50:00,8.55,duplicate 2,62,2024-06-26 16:03:00,2024-06-26 16:50:00,3.0396164383561644,1.0302019839467973,71.87480821917809,26.367032980510498,0.0732417582791958,0.5682280771985365,22
62,2,2024-06-26,17:01:00,17:47:00,0.0,,63,2024-06-26 17:01:00,2024-06-26 17:47:00,3.7944859154929578,1.021054841407611,51.37146478873239,18.43059972665393,0.0511961103518164,0.6198582654213998,23
63,2,2024-06-27,08:56:00,09:44:00,37.59,duplicate 3,64,2024-06-27 08:56:00,2024-06-27 09:44:00,2.658773333333333,0.7565235141567218,310.0491,14.413795594742105,0.0400383210965058,0.4695704130594582,24
64,2,2024-06-27,10:09:00,10:55:00,42.06,,65,2024-06-27 10:09:00,2024-06-27 10:55:00,3.5322237762237765,1.0131102815238338,285.26486013986016,21.82148228357295,0.0606152285654804,0.5571866004365084,25
65,2,2024-06-27,11:06:00,11:56:30,0.57,,66,2024-06-27 11:06:00,2024-06-27 11:56:30,3.3701602564102573,0.9463078916320496,276.84071794871795,23.678665319826777,0.0657740703328521,0.5862823190690707,26
66,2,2024-06-27,12:09:00,12:55:00,8.55,duplicate 2,67,2024-06-27 12:09:00,2024-06-27 12:55:00,3.861631944444445,0.902162791711474,300.5999861111111,17.553266218262678,0.0487590728285074,0.5138263431112373,27
67,2,2024-06-27,13:29:00,14:15:00,13.91,,68,2024-06-27 13:29:00,2024-06-27 14:15:00,4.11600704225352,1.0227037902067473,301.6137464788732,17.302975827422465,0.0480638217428401,0.5889902836850912,28
68,2,2024-06-27,14:35:00,15:22:00,37.59,duplicate 3,69,2024-06-27 14:35:00,2024-06-27 15:22:00,4.228445205479452,0.7872632213786408,313.1603698630137,15.979900984732916,0.0443886138464803,0.5083799254211181,29
69,2,2024-06-27,15:33:15,16:19:15,81.3,satellite,70,2024-06-27 15:33:15,2024-06-27 16:19:15,4.1649513888888885,0.9328989206885352,306.6812430555556,18.908503804159057,0.0525236216782196,0.6402957018598067,30
70,2,2024-06-27,16:35:30,17:24:05,1.44,,71,2024-06-27 16:35:30,2024-06-27 17:24:05,3.9618733333333336,0.793841829094239,307.7349133333333,16.617379266571348,0.046159386851587,0.5266145642993265,31
71,2,2024-06-28,09:00:00,09:47:30,2.98,,72,2024-06-28 09:00:00,2024-06-28 09:47:30,1.9623741007194244,0.4888482956255046,308.172690647482,20.24685517323112,0.0562412643700864,0.3259292408977792,32
72,2,2024-06-28,10:10:40,10:56:00,0.32,Incertitude : 7.2,73,2024-06-28 10:10:40,2024-06-28 10:56:00,1.404677685950413,0.5769756380598756,236.32622314049584,34.517066358789585,0.0958807398855266,0.2649806769811331,33
73,2,2024-06-28,11:02:30,11:49:15,189.0,satellite,74,2024-06-28 11:02:30,2024-06-28 11:49:15,1.3576614173228347,0.4879299686360875,201.3531968503937,74.15372588423742,0.2059825719006595,0.2949279238582404,34
74,2,2024-06-28,12:03:30,12:51:00,19.23,duplicate 1,75,2024-06-28 12:03:30,2024-06-28 12:51:00,1.9786573426573424,0.5354514891678271,275.83693706293707,25.58086024708178,0.0710579451307827,0.2754154793323967,35
75,3,2024-09-09,11:02:30,11:50:10,56.7,,76,2024-09-09 11:02:30,2024-09-09 11:50:10,3.32510606060606,0.9342103679397066,209.37825,16.235471522149506,0.0450985320059708,0.5733646471391511,1
76,3,2024-09-09,12:05:00,12:52:30,31.36,doublon 1,77,2024-09-09 12:05:00,2024-09-09 12:52:30,3.665751937984496,1.4656379318779575,203.16287596899227,43.32016085596687,0.1203337801554635,0.53842508084484,2
77,3,2024-09-09,13:23:55,14:16:00,5.57,,78,2024-09-09 13:23:55,2024-09-09 14:16:00,2.65220987654321,0.583478319620417,195.56804938271608,15.724319086048055,0.0436786641279112,0.4192416322730813,3
78,3,2024-09-09,14:30:30,15:20:45,0.0,,79,2024-09-09 14:30:30,2024-09-09 15:20:45,2.545805369127517,0.5945058097351241,226.7112483221476,23.113998230249013,0.0642055506395806,0.4269086258346158,4
79,3,2024-09-09,15:25:15,16:15:40,0.18,Incertitude : 3.8,80,2024-09-09 15:25:15,2024-09-09 16:15:40,5.05122435897436,1.3532700828290822,259.16267948717945,16.782825590417104,0.0466189599733808,0.8678274336099527,5
